scenario_name,scenario_title,lifecycle_level,scenario_path,scenario_type,primary_domain,operational_focus,target_resource,telemetry_signals,infrastructure_components,detection_inputs,correlation_context,incident_or_response_flow,recovery_or_validation_actions,evidence_outputs,used_modules,used_adapters
service-mesh-traffic-visibility,Service Mesh Traffic Visibility,level-1-visibility,scenarios/level-1-visibility/service-mesh-traffic-visibility,Visibility / Monitoring,Service Mesh,Detect and expose operational health signals before incident escalation,"service mesh route, sidecar proxy, service dependency, traffic policy",service health; request latency; error rate; dependency call failure; mesh traffic; endpoint availability,Service Mesh Route; Sidecar Proxy; Service Dependency; Traffic Policy; Telemetry Source; Detection Logic; Evidence Output,service health; request latency; error rate; dependency call failure; mesh traffic; endpoint availability,"Correlate service mesh signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
storage-capacity-monitoring,Storage Capacity Monitoring,level-1-visibility,scenarios/level-1-visibility/storage-capacity-monitoring,Visibility / Monitoring,Storage,Detect and expose operational health signals before incident escalation,"storage volume, storage backend, object store, I/O path",disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,Storage Volume; Storage Backend; Object Store; I/O Path; Telemetry Source; Detection Logic; Evidence Output,disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,"Correlate storage signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
storage-latency-monitoring,Storage Latency Monitoring,level-1-visibility,scenarios/level-1-visibility/storage-latency-monitoring,Visibility / Monitoring,Storage,Detect and expose operational health signals before incident escalation,"storage volume, storage backend, object store, I/O path",disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,Storage Volume; Storage Backend; Object Store; I/O Path; Telemetry Source; Detection Logic; Evidence Output,disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,"Correlate storage signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
system-event-visibility,System Event Visibility,level-1-visibility,scenarios/level-1-visibility/system-event-visibility,Visibility / Monitoring,System Event,Detect and expose operational health signals before incident escalation,"system event log, OS runtime, service state, host signal",health status; availability signal; latency; error indicator; event log; metric threshold,System Event Log; Os Runtime; Service State; Host Signal; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate system event signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
virtual-machine-health-monitoring,Virtual Machine Health Monitoring,level-1-visibility,scenarios/level-1-visibility/virtual-machine-health-monitoring,Visibility / Monitoring,Virtual Machine,Detect and expose operational health signals before incident escalation,"virtual machine, hypervisor, guest OS, compute host",health status; availability signal; latency; error indicator; event log; metric threshold,Virtual Machine; Hypervisor; Guest Os; Compute Host; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate virtual machine signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
vpn-connectivity-monitoring,Vpn Connectivity Monitoring,level-1-visibility,scenarios/level-1-visibility/vpn-connectivity-monitoring,Visibility / Monitoring,Network / VPN,Detect and expose operational health signals before incident escalation,"VPN tunnel, VPN gateway, remote endpoint, routing path",tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,Vpn Tunnel; Vpn Gateway; Remote Endpoint; Routing Path; Telemetry Source; Detection Logic; Evidence Output,tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,"Correlate network / vpn signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
vpn-latency-visibility,Vpn Latency Visibility,level-1-visibility,scenarios/level-1-visibility/vpn-latency-visibility,Visibility / Monitoring,Network / VPN,Detect and expose operational health signals before incident escalation,"VPN tunnel, VPN gateway, remote endpoint, routing path",tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,Vpn Tunnel; Vpn Gateway; Remote Endpoint; Routing Path; Telemetry Source; Detection Logic; Evidence Output,tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,"Correlate network / vpn signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
vpn-tunnel-health-monitoring,Vpn Tunnel Health Monitoring,level-1-visibility,scenarios/level-1-visibility/vpn-tunnel-health-monitoring,Visibility / Monitoring,Network / VPN,Detect and expose operational health signals before incident escalation,"VPN tunnel, VPN gateway, remote endpoint, routing path",tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,Vpn Tunnel; Vpn Gateway; Remote Endpoint; Routing Path; Telemetry Source; Detection Logic; Evidence Output,tunnel status; gateway reachability; packet loss; latency; tunnel uptime; endpoint response,"Correlate network / vpn signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
wan-link-monitoring,Wan Link Monitoring,level-1-visibility,scenarios/level-1-visibility/wan-link-monitoring,Visibility / Monitoring,Network / WAN,Detect and expose operational health signals before incident escalation,"WAN link, edge router, remote site, network path",health status; availability signal; latency; error indicator; event log; metric threshold,Wan Link; Edge Router; Remote Site; Network Path; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate network / wan signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
api-latency-correlation,Api Latency Correlation,level-2-correlation,scenarios/level-2-correlation/api-latency-correlation,Correlation / Analysis,API / Service,"Correlate related symptoms, dependencies, and impact paths","API endpoint, upstream service, request path, runtime dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Api Endpoint; Upstream Service; Request Path; Runtime Dependency; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate api / service signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
authentication-anomaly-analysis,Authentication Anomaly Analysis,level-2-correlation,scenarios/level-2-correlation/authentication-anomaly-analysis,Correlation / Analysis,Identity / Authentication,"Correlate related symptoms, dependencies, and impact paths","authentication flow, identity provider, login event, risk signal",health status; availability signal; latency; error indicator; event log; metric threshold,Authentication Flow; Identity Provider; Login Event; Risk Signal; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate identity / authentication signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
backup-failure-correlation,Backup Failure Correlation,level-2-correlation,scenarios/level-2-correlation/backup-failure-correlation,Correlation / Analysis,Backup / Recovery,"Correlate related symptoms, dependencies, and impact paths","backup job, backup scheduler, protected workload, backup repository, recovery point",backup job status; last successful backup timestamp; backup duration; failure reason; repository availability; recovery point age,Backup Job; Backup Scheduler; Protected Workload; Backup Repository; Recovery Point; Telemetry Source; Detection Logic; Evidence Output,backup job status; last successful backup timestamp; backup duration; failure reason; repository availability; recovery point age,"Correlate backup / recovery signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cluster-resource-instability-analysis,Cluster Resource Instability Analysis,level-2-correlation,scenarios/level-2-correlation/cluster-resource-instability-analysis,Correlation / Analysis,Cluster / Platform,"Correlate related symptoms, dependencies, and impact paths","cluster node, workload, control plane, resource pool",health status; availability signal; latency; error indicator; event log; metric threshold,Cluster Node; Workload; Control Plane; Resource Pool; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate cluster / platform signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
compute-resource-correlation,Compute Resource Correlation,level-2-correlation,scenarios/level-2-correlation/compute-resource-correlation,Correlation / Analysis,Compute / Resource,"Correlate related symptoms, dependencies, and impact paths","compute node, instance, CPU, memory, disk, runtime host",CPU usage; memory usage; disk pressure; instance status; host health; reboot event; availability state,Compute Node; Instance; Cpu; Memory; Disk; Runtime Host; Telemetry Source; Detection Logic; Evidence Output,CPU usage; memory usage; disk pressure; instance status; host health; reboot event; availability state,"Correlate compute / resource signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
container-dependency-analysis,Container Dependency Analysis,level-2-correlation,scenarios/level-2-correlation/container-dependency-analysis,Correlation / Analysis,Container / Runtime,"Correlate related symptoms, dependencies, and impact paths","container runtime, pod, workload, node, image runtime",pod phase; restart count; container exit code; readiness status; liveness status; CPU usage; memory pressure,Container Runtime; Pod; Workload; Node; Image Runtime; Telemetry Source; Detection Logic; Evidence Output,pod phase; restart count; container exit code; readiness status; liveness status; CPU usage; memory pressure,"Correlate container / runtime signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-domain-security-correlation,Cross Domain Security Correlation,level-2-correlation,scenarios/level-2-correlation/cross-domain-security-correlation,Correlation / Analysis,Security / Telemetry,"Correlate related symptoms, dependencies, and impact paths","security event, policy control, endpoint signal, audit source",authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,Security Event; Policy Control; Endpoint Signal; Audit Source; Telemetry Source; Detection Logic; Evidence Output,authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,"Correlate security / telemetry signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-region-network-anomaly-correlation,Cross Region Network Anomaly Correlation,level-2-correlation,scenarios/level-2-correlation/cross-region-network-anomaly-correlation,Correlation / Analysis,Network / Routing,"Correlate related symptoms, dependencies, and impact paths","network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-server-failure-correlation,Cross Server Failure Correlation,level-2-correlation,scenarios/level-2-correlation/cross-server-failure-correlation,Correlation / Analysis,General Infrastructure,"Correlate related symptoms, dependencies, and impact paths","infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-service-anomaly-correlation,Cross Service Anomaly Correlation,level-2-correlation,scenarios/level-2-correlation/cross-service-anomaly-correlation,Correlation / Analysis,General Infrastructure,"Correlate related symptoms, dependencies, and impact paths","infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-service-database-dependency-analysis,Cross Service Database Dependency Analysis,level-2-correlation,scenarios/level-2-correlation/cross-service-database-dependency-analysis,Correlation / Analysis,Database,"Correlate related symptoms, dependencies, and impact paths","database instance, query workload, replication channel, storage backend",query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,Database Instance; Query Workload; Replication Channel; Storage Backend; Telemetry Source; Detection Logic; Evidence Output,query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,"Correlate database signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
cross-site-network-correlation,Cross Site Network Correlation,level-2-correlation,scenarios/level-2-correlation/cross-site-network-correlation,Correlation / Analysis,Network / Routing,"Correlate related symptoms, dependencies, and impact paths","network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
database-latency-correlation,Database Latency Correlation,level-2-correlation,scenarios/level-2-correlation/database-latency-correlation,Correlation / Analysis,Database,"Correlate related symptoms, dependencies, and impact paths","database instance, query workload, replication channel, storage backend",query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,Database Instance; Query Workload; Replication Channel; Storage Backend; Telemetry Source; Detection Logic; Evidence Output,query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,"Correlate database signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
filesystem-failure-correlation,Filesystem Failure Correlation,level-2-correlation,scenarios/level-2-correlation/filesystem-failure-correlation,Correlation / Analysis,Filesystem,"Correlate related symptoms, dependencies, and impact paths","filesystem, mount point, volume, inode, disk path",health status; availability signal; latency; error indicator; event log; metric threshold,Filesystem; Mount Point; Volume; Inode; Disk Path; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate filesystem signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
identity-risk-analysis,Identity Risk Analysis,level-2-correlation,scenarios/level-2-correlation/identity-risk-analysis,Correlation / Analysis,Identity / Access,"Correlate related symptoms, dependencies, and impact paths","identity provider, access policy, authentication flow, account state",health status; availability signal; latency; error indicator; event log; metric threshold,Identity Provider; Access Policy; Authentication Flow; Account State; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate identity / access signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
infrastructure-anomaly-analysis,Infrastructure Anomaly Analysis,level-2-correlation,scenarios/level-2-correlation/infrastructure-anomaly-analysis,Correlation / Analysis,General Infrastructure,"Correlate related symptoms, dependencies, and impact paths","infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
multi-region-latency-correlation,Multi Region Latency Correlation,level-2-correlation,scenarios/level-2-correlation/multi-region-latency-correlation,Correlation / Analysis,General Infrastructure,"Correlate related symptoms, dependencies, and impact paths","infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
network-packet-loss-correlation,Network Packet Loss Correlation,level-2-correlation,scenarios/level-2-correlation/network-packet-loss-correlation,Correlation / Analysis,Network / Routing,"Correlate related symptoms, dependencies, and impact paths","network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
network-path-dependency-analysis,Network Path Dependency Analysis,level-2-correlation,scenarios/level-2-correlation/network-path-dependency-analysis,Correlation / Analysis,Network / Routing,"Correlate related symptoms, dependencies, and impact paths","network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
platform-dependency-correlation,Platform Dependency Correlation,level-2-correlation,scenarios/level-2-correlation/platform-dependency-correlation,Correlation / Analysis,General Infrastructure,"Correlate related symptoms, dependencies, and impact paths","infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
pod-failure-correlation,Pod Failure Correlation,level-2-correlation,scenarios/level-2-correlation/pod-failure-correlation,Correlation / Analysis,Container / Pod,"Correlate related symptoms, dependencies, and impact paths","pod, container, node, workload, service endpoint",health status; availability signal; latency; error indicator; event log; metric threshold,Pod; Container; Node; Workload; Service Endpoint; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate container / pod signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
privilege-escalation-correlation,Privilege Escalation Correlation,level-2-correlation,scenarios/level-2-correlation/privilege-escalation-correlation,Correlation / Analysis,Privileged Access,"Correlate related symptoms, dependencies, and impact paths","privileged session, admin account, access control, audit source",health status; availability signal; latency; error indicator; event log; metric threshold,Privileged Session; Admin Account; Access Control; Audit Source; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate privileged access signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
query-lock-analysis,Query Lock Analysis,level-2-correlation,scenarios/level-2-correlation/query-lock-analysis,Correlation / Analysis,Database / Query,"Correlate related symptoms, dependencies, and impact paths","query workload, lock state, connection pool, database runtime",health status; availability signal; latency; error indicator; event log; metric threshold,Query Workload; Lock State; Connection Pool; Database Runtime; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate database / query signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
replication-failure-correlation,Replication Failure Correlation,level-2-correlation,scenarios/level-2-correlation/replication-failure-correlation,Correlation / Analysis,Database / Replication,"Correlate related symptoms, dependencies, and impact paths","replication channel, source database, replica database, lag signal",health status; availability signal; latency; error indicator; event log; metric threshold,Replication Channel; Source Database; Replica Database; Lag Signal; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate database / replication signals with related infrastructure state, dependencies, recent events, and service impact.","Correlate related symptoms, dependencies, and impact paths","Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Dependency Correlation Module; Impact Analysis Module,Prometheus Adapter; Grafana Adapter; OpenSearch Adapter
